Time, Message
2023-06-24_18-23-57,"{'Data procesarii imaginii': '2023-06-24_18-23-56', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_18-24-34,"{'Data procesarii imaginii': '2023-06-24_18-24-33', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_18-27-07,"{'Data procesarii imaginii': '2023-06-24_18-27-06', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_18-28-19,"{'Data procesarii imaginii': '2023-06-24_18-28-19', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_18-37-43,"{'Data procesarii imaginii': '2023-06-24_18-37-42', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_18-38-10,"{'Data procesarii imaginii': '2023-06-24_18-38-10', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_18-39-02,"{'Data procesarii imaginii': '2023-06-24_18-39-02', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_18-39-49,"{'Data procesarii imaginii': '2023-06-24_18-39-49', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_18-43-21,"{'Data procesarii imaginii': '2023-06-24_18-43-20', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_18-50-28,"{'Data procesarii imaginii': '2023-06-24_18-50-27', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_18-51-40,"{'Data procesarii imaginii': '2023-06-24_18-51-39', 'Numarul de fete detectate': 8, 'Persoana 1': 'Neutral', 'Persoana 2': 'Happy', 'Persoana 3': 'Neutral', 'Persoana 4': 'Happy', 'Persoana 5': 'Neutral', 'Persoana 6': 'Neutral', 'Persoana 7': 'Neutral', 'Persoana 8': 'Neutral'}"
2023-06-24_18-52-24,"{'Data procesarii imaginii': '2023-06-24_18-52-24', 'Numarul de fete detectate': 0}"
2023-06-24_18-52-40,"{'Data procesarii imaginii': '2023-06-24_18-52-40', 'Numarul de fete detectate': 0}"
2023-06-24_18-52-53,"{'Data procesarii imaginii': '2023-06-24_18-52-53', 'Numarul de fete detectate': 0}"
2023-06-24_18-59-25,"{'Data procesarii imaginii': '2023-06-24_18-59-25', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_19-01-55,"{'Data procesarii imaginii': '2023-06-24_19-01-55', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fearful'}"
2023-06-24_19-51-10,"{'Data procesarii imaginii': '2023-06-24_19-51-10', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_19-51-53,"{'Data procesarii imaginii': '2023-06-24_19-51-52', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_19-55-35,"{'Data procesarii imaginii': '2023-06-24_19-55-34', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_20-17-27,"{'Data procesarii imaginii': '2023-06-24_20-17-26', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutral'}"
2023-06-24_20-47-20,"{'Data procesarii imaginii': '2023-06-24_20-47-19', 'Numarul de fete detectate': 0}"
2023-06-24_20-47-51,"{'Data procesarii imaginii': '2023-06-24_20-47-51', 'Numarul de fete detectate': 1, 'Persoana 1': 'Disgusted'}"
2023-06-25_13-19-51,"{'Data procesarii imaginii': '2023-06-25_13-19-51', 'Numarul de fete detectate': 0}"
2023-06-25_15-21-24,"{'Data procesarii imaginii': '2023-06-25_15-21-24', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-06-25_15-23-08,"{'Data procesarii imaginii': '2023-06-25_15-23-07', 'Numarul de fete detectate': 1, 'Persoana 1': 'ÃnfricoÈ™at'}"
2023-06-25_19-21-35,"{'Data procesarii imaginii': '2023-06-25_19-21-35', 'Numarul de fete detectate': 0}"
2023-06-25_19-22-53,"{'Data procesarii imaginii': '2023-06-25_19-22-52', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-06-25_19-23-27,"{'Data procesarii imaginii': '2023-06-25_19-23-26', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-06-25_19-29-39,"{'Data procesarii imaginii': '2023-06-25_19-29-39', 'Numarul de fete detectate': 0}"
2023-06-25_19-42-05,"{'Data procesarii imaginii': '2023-06-25_19-42-05', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-06-25_19-52-40,"{'Data procesarii imaginii': '2023-06-25_19-52-40', 'Numarul de fete detectate': 0}"
2023-06-25_19-54-33,"{'Data procesarii imaginii': '2023-06-25_19-54-33', 'Numarul de fete detectate': 0}"
2023-06-25_19-55-45,"{'Data procesarii imaginii': '2023-06-25_19-55-45', 'Numarul de fete detectate': 1, 'Persoana 1': 'Infricosat'}"
2023-06-25_19-56-13,"{'Data procesarii imaginii': '2023-06-25_19-56-12', 'Numarul de fete detectate': 0}"
2023-06-25_20-02-45,"{'Data procesarii imaginii': '2023-06-25_20-02-45', 'Numarul de fete detectate': 0}"
2023-06-25_20-03-37,"{'Data procesarii imaginii': '2023-06-25_20-03-37', 'Numarul de fete detectate': 0}"
2023-06-25_20-04-34,"{'Data procesarii imaginii': '2023-06-25_20-04-34', 'Numarul de fete detectate': 0}"
2023-06-25_20-05-34,"{'Data procesarii imaginii': '2023-06-25_20-05-34', 'Numarul de fete detectate': 0}"
2023-06-25_20-27-46,"{'Data procesarii imaginii': '2023-06-25_20-27-46', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-01_01-06-41,"{'Data procesarii imaginii': '2023-07-01_01-06-40', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-01_01-06-50,"{'Data procesarii imaginii': '2023-07-01_01-06-50', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-01_01-07-04,"{'Data procesarii imaginii': '2023-07-01_01-07-03', 'Numarul de fete detectate': 8, 'Persoana 1': 'Neutru', 'Persoana 2': 'Furios', 'Persoana 3': 'Neutru', 'Persoana 4': 'Fericit', 'Persoana 5': 'Neutru', 'Persoana 6': 'Neutru', 'Persoana 7': 'Trist', 'Persoana 8': 'Fericit'}"
2023-07-01_01-09-23,"{'Data procesarii imaginii': '2023-07-01_01-09-23', 'Numarul de fete detectate': 0}"
2023-07-01_01-09-34,"{'Data procesarii imaginii': '2023-07-01_01-09-34', 'Numarul de fete detectate': 1, 'Persoana 1': 'Infricosat'}"
2023-07-01_01-09-46,"{'Data procesarii imaginii': '2023-07-01_01-09-46', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_01-09-55,"{'Data procesarii imaginii': '2023-07-01_01-09-54', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-01_01-10-23,"{'Data procesarii imaginii': '2023-07-01_01-10-23', 'Numarul de fete detectate': 0}"
2023-07-01_01-10-55,"{'Data procesarii imaginii': '2023-07-01_01-10-55', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_01-12-18,"{'Data procesarii imaginii': '2023-07-01_01-12-18', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_01-12-34,"{'Data procesarii imaginii': '2023-07-01_01-12-34', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_01-12-56,"{'Data procesarii imaginii': '2023-07-01_01-12-56', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_01-13-24,"{'Data procesarii imaginii': '2023-07-01_01-13-24', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_01-13-42,"{'Data procesarii imaginii': '2023-07-01_01-13-42', 'Numarul de fete detectate': 0}"
2023-07-01_01-15-56,"{'Data procesarii imaginii': '2023-07-01_01-15-56', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_01-19-11,"{'Data procesarii imaginii': '2023-07-01_01-19-10', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_01-19-58,"{'Data procesarii imaginii': '2023-07-01_01-19-58', 'Numarul de fete detectate': 0}"
2023-07-01_01-20-12,"{'Data procesarii imaginii': '2023-07-01_01-20-12', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-01_01-21-20,"{'Data procesarii imaginii': '2023-07-01_01-21-20', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-01_01-23-02,"{'Data procesarii imaginii': '2023-07-01_01-23-02', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-01_01-23-31,"{'Data procesarii imaginii': '2023-07-01_01-23-31', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_01-24-38,"{'Data procesarii imaginii': '2023-07-01_01-24-37', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_01-29-25,"{'Data procesarii imaginii': '2023-07-01_01-29-25', 'Numarul de fete detectate': 0}"
2023-07-01_01-30-45,"{'Data procesarii imaginii': '2023-07-01_01-30-45', 'Numarul de fete detectate': 0}"
2023-07-01_01-31-08,"{'Data procesarii imaginii': '2023-07-01_01-31-08', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-01_01-32-01,"{'Data procesarii imaginii': '2023-07-01_01-32-01', 'Numarul de fete detectate': 1, 'Persoana 1': 'Trist'}"
2023-07-01_01-32-24,"{'Data procesarii imaginii': '2023-07-01_01-32-24', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-01_01-33-42,"{'Data procesarii imaginii': '2023-07-01_01-33-42', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-01_01-34-37,"{'Data procesarii imaginii': '2023-07-01_01-34-37', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-01_01-39-02,"{'Data procesarii imaginii': '2023-07-01_01-39-02', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-01_01-40-00,"{'Data procesarii imaginii': '2023-07-01_01-40-00', 'Numarul de fete detectate': 1, 'Persoana 1': 'Trist'}"
2023-07-01_01-40-08,"{'Data procesarii imaginii': '2023-07-01_01-40-08', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-01_01-40-17,"{'Data procesarii imaginii': '2023-07-01_01-40-17', 'Numarul de fete detectate': 1, 'Persoana 1': 'Trist'}"
2023-07-01_01-40-47,"{'Data procesarii imaginii': '2023-07-01_01-40-47', 'Numarul de fete detectate': 1, 'Persoana 1': 'Surprins'}"
2023-07-01_01-41-23,"{'Data procesarii imaginii': '2023-07-01_01-41-23', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_16-30-33,"{'Data procesarii imaginii': '2023-07-01_16-30-32', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_16-31-00,"{'Data procesarii imaginii': '2023-07-01_16-31-00', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-01_16-31-10,"{'Data procesarii imaginii': '2023-07-01_16-31-10', 'Numarul de fete detectate': 1, 'Persoana 1': 'Surprins'}"
2023-07-01_16-31-23,"{'Data procesarii imaginii': '2023-07-01_16-31-23', 'Numarul de fete detectate': 1, 'Persoana 1': 'Infricosat'}"
2023-07-01_16-31-39,"{'Data procesarii imaginii': '2023-07-01_16-31-39', 'Numarul de fete detectate': 1, 'Persoana 1': 'Surprins'}"
2023-07-02_20-33-09,"{'Data procesarii imaginii': '2023-07-02_20-33-08', 'Numarul de fete detectate': 6, 'Persoana 1': 'Fericit', 'Persoana 2': 'Fericit', 'Persoana 3': 'Fericit', 'Persoana 4': 'Neutru', 'Persoana 5': 'Neutru', 'Persoana 6': 'Fericit'}"
2023-07-02_20-34-22,"{'Data procesarii imaginii': '2023-07-02_20-34-22', 'Numarul de fete detectate': 11, 'Persoana 1': 'Fericit', 'Persoana 2': 'Infricosat', 'Persoana 3': 'Fericit', 'Persoana 4': 'Trist', 'Persoana 5': 'Fericit', 'Persoana 6': 'Fericit', 'Persoana 7': 'Fericit', 'Persoana 8': 'Fericit', 'Persoana 9': 'Fericit', 'Persoana 10': 'Fericit', 'Persoana 11': 'Fericit'}"
2023-07-02_20-37-31,"{'Data procesarii imaginii': '2023-07-02_20-37-31', 'Numarul de fete detectate': 6, 'Persoana 1': 'Fericit', 'Persoana 2': 'Fericit', 'Persoana 3': 'Fericit', 'Persoana 4': 'Neutru', 'Persoana 5': 'Neutru', 'Persoana 6': 'Fericit'}"
2023-07-02_20-37-54,"{'Data procesarii imaginii': '2023-07-02_20-37-54', 'Numarul de fete detectate': 0}"
2023-07-02_20-39-20,"{'Data procesarii imaginii': '2023-07-02_20-39-20', 'Numarul de fete detectate': 2, 'Persoana 1': 'Fericit', 'Persoana 2': 'Neutru'}"
2023-07-02_20-40-10,"{'Data procesarii imaginii': '2023-07-02_20-40-10', 'Numarul de fete detectate': 2, 'Persoana 1': 'Fericit', 'Persoana 2': 'Neutru'}"
2023-07-02_20-42-11,"{'Data procesarii imaginii': '2023-07-02_20-42-11', 'Numarul de fete detectate': 2, 'Persoana 1': 'Infricosat', 'Persoana 2': 'Neutru'}"
2023-07-02_20-43-04,"{'Data procesarii imaginii': '2023-07-02_20-43-04', 'Numarul de fete detectate': 2, 'Persoana 1': 'Infricosat', 'Persoana 2': 'Surprins'}"
2023-07-02_20-48-31,"{'Data procesarii imaginii': '2023-07-02_20-48-31', 'Numarul de fete detectate': 2, 'Persoana 1': 'Surprins', 'Persoana 2': 'Fericit'}"
2023-07-02_20-51-22,"{'Data procesarii imaginii': '2023-07-02_20-51-22', 'Numarul de fete detectate': 2, 'Persoana 1': 'Trist', 'Persoana 2': 'Neutru'}"
2023-07-02_20-52-03,"{'Data procesarii imaginii': '2023-07-02_20-52-03', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-02_20-52-31,"{'Data procesarii imaginii': '2023-07-02_20-52-31', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-02_20-52-52,"{'Data procesarii imaginii': '2023-07-02_20-52-52', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-02_20-53-21,"{'Data procesarii imaginii': '2023-07-02_20-53-20', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-02_20-53-55,"{'Data procesarii imaginii': '2023-07-02_20-53-55', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-02_20-54-25,"{'Data procesarii imaginii': '2023-07-02_20-54-25', 'Numarul de fete detectate': 1, 'Persoana 1': 'Infricosat'}"
2023-07-02_20-57-34,"{'Data procesarii imaginii': '2023-07-02_20-57-33', 'Numarul de fete detectate': 2, 'Persoana 1': 'Infricosat', 'Persoana 2': 'Surprins'}"
2023-07-02_20-59-11,"{'Data procesarii imaginii': '2023-07-02_20-59-10', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-02_20-59-49,"{'Data procesarii imaginii': '2023-07-02_20-59-49', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-02_21-00-32,"{'Data procesarii imaginii': '2023-07-02_21-00-32', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-02_21-01-28,"{'Data procesarii imaginii': '2023-07-02_21-01-28', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-02_21-02-09,"{'Data procesarii imaginii': '2023-07-02_21-02-09', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-02_21-02-37,"{'Data procesarii imaginii': '2023-07-02_21-02-37', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-02_21-04-12,"{'Data procesarii imaginii': '2023-07-02_21-04-12', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-02_21-04-44,"{'Data procesarii imaginii': '2023-07-02_21-04-44', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-02_21-05-39,"{'Data procesarii imaginii': '2023-07-02_21-05-39', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-02_21-06-26,"{'Data procesarii imaginii': '2023-07-02_21-06-26', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-02_21-06-53,"{'Data procesarii imaginii': '2023-07-02_21-06-52', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-02_21-07-21,"{'Data procesarii imaginii': '2023-07-02_21-07-21', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-05_20-37-13,"{'Data procesarii imaginii': '2023-07-05_20-37-12', 'Numarul de fete detectate': 1, 'Persoana 0': 'Neutru'}"
2023-07-05_20-38-54,"{'Data procesarii imaginii': '2023-07-05_20-38-54', 'Numarul de fete detectate': 1, 'Persoana 1': 'Trist'}"
2023-07-05_20-42-43,"{'Data procesarii imaginii': '2023-07-05_20-42-42', 'Numarul de fete detectate': 1, 'Persoana 6': 'Neutru'}"
2023-07-05_20-44-47,"{'Data procesarii imaginii': '2023-07-05_20-44-47', 'Numarul de fete detectate': 2, 'Persoana 6': 'Neutru'}"
2023-07-05_20-48-20,"{'Data procesarii imaginii': '2023-07-05_20-48-19', 'Numarul de fete detectate': 2, 'Persoana 1': 'Fericit', 'Persoana 2': 'Neutru'}"
2023-07-05_21-28-59,"{'Data procesarii imaginii': '2023-07-05_21-28-59', 'Numarul de fete detectate': 2, 'Persoana 1': 'Infricosat', 'Persoana 2': 'Surprins'}"
2023-07-05_21-43-36,"{'Data procesarii imaginii': '2023-07-05_21-43-36', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-05_22-08-44,"{'Data procesarii imaginii': '2023-07-05_22-08-44', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-05_22-09-03,"{'Data procesarii imaginii': '2023-07-05_22-09-03', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-05_22-09-15,"{'Data procesarii imaginii': '2023-07-05_22-09-15', 'Numarul de fete detectate': 1, 'Persoana 1': 'Furios'}"
2023-07-05_22-09-48,"{'Data procesarii imaginii': '2023-07-05_22-09-48', 'Numarul de fete detectate': 1, 'Persoana 1': 'Infricosat'}"
2023-07-05_22-10-06,"{'Data procesarii imaginii': '2023-07-05_22-10-06', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-05_22-10-48,"{'Data procesarii imaginii': '2023-07-05_22-10-48', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-05_22-11-15,"{'Data procesarii imaginii': '2023-07-05_22-11-15', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-05_22-19-35,"{'Data procesarii imaginii': '2023-07-05_22-19-34', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-05_22-20-27,"{'Data procesarii imaginii': '2023-07-05_22-20-27', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-05_22-23-08,"{'Data procesarii imaginii': '2023-07-05_22-23-08', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-05_23-06-44,"{'Data procesarii imaginii': '2023-07-05_23-06-44', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-05_23-08-00,"{'Data procesarii imaginii': '2023-07-05_23-08-00', 'Numarul de fete detectate': 1, 'Persoana 1': 'Fericit'}"
2023-07-07_15-57-26,"{'Data procesarii imaginii': '2023-07-07_15-57-26', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
2023-07-07_16-46-37,"{'Data procesarii imaginii': '2023-07-07_16-46-37', 'Numarul de fete detectate': 0}"
2023-07-07_16-47-02,"{'Data procesarii imaginii': '2023-07-07_16-47-01', 'Numarul de fete detectate': 1, 'Persoana 1': 'Neutru'}"
